State,Confirmed,Deaths,,
,\,,,
California,"3,169,935","38,224",,
Texas,"2,294,073","35,152",,
Florida,"1,676,171","25,833",,
New York,"1,361,151","42,610",,
Illinois,"1,112,143","18,964",,
Ohio,"878,284","10,931",,
Pennsylvania,"818,369","21,105",,
Arizona,"738,561","12,643",,
North Carolina,"733,010","8,915",,
Georgia,"731,826","12,135",,
Tennessee,"715,806","9,316",,
New Jersey,"676,488","21,220",,
Indiana,"620,545","9,845",,
Michigan,"604,233","15,314",,
Wisconsin,"585,600","5,787",,
Massachusetts,"484,639","14,304",,
Minnesota,"457,317","6,124",,
Missouri,"449,535","6,548",,
Alabama,"449,086","7,172",,
South Carolina,"427,231","6,673",,
Louisiana,"392,416","8,688",,
Colorado,"390,258","5,552",,
Oklahoma,"379,110","3,388",,
Kentucky,"352,943","3,542",,
Maryland,"346,559","7,014",,
Utah,"340,717","1,621",,
Iowa,"315,170","4,500",,
Washington,"305,289","4,211",,
Virginia,"301,211","3,711",,
Arkansas,"288,964","4,742",,
Kansas,"275,237","3,718",,
Nevada,"268,945","4,042",,
Mississippi,"268,672","5,917",,
Connecticut,"247,339","6,976",,
Nebraska,"187,415","1,913",,
New Mexico,"171,047","3,198",,
Idaho,"161,212","1,714",,
Oregon,"140,064","1,924",,
West Virginia,"116,935","1,953",,
South Dakota,"107,608","1,739",,
Rhode Island,"106,914","2,076",,
North Dakota,"97,160","1,416",,
Montana,"92,531","1,203",,
Delaware,"75,832","1,072",,
New Hampshire,"63,563","1,006",,
Alaska,"51,603",250,,
Wyoming,"51,368",596,,
District of Columbia,"35,865",895,,
Maine,"31,150",453,,
Hawaii,"25,442",404,,
Vermont,"11,379",172,,
