State,Month,Unemployment_Rate,Date
Alabama,Jan,2.7,Jan-20
Alaska,Jan,6,Jan-20
Arizona,Jan,4.5,Jan-20
Arkansas,Jan,3.5,Jan-20
California,Jan,3.9,Jan-20
Colorado,Jan,2.5,Jan-20
Connecticut,Jan,3.7,Jan-20
Delaware,Jan,4,Jan-20
D.C.,Jan,5.2,Jan-20
Florida,Jan,2.8,Jan-20
Georgia,Jan,3.1,Jan-20
Hawaii,Jan,2.7,Jan-20
Idaho,Jan,2.8,Jan-20
Illinois,Jan,3.5,Jan-20
Indiana,Jan,3.1,Jan-20
Iowa,Jan,2.8,Jan-20
Kansas,Jan,3.1,Jan-20
Kentucky,Jan,4.3,Jan-20
Louisiana,Jan,5.1,Jan-20
Maine,Jan,3.1,Jan-20
Maryland,Jan,3.3,Jan-20
Massachusetts,Jan,2.8,Jan-20
Michigan,Jan,3.8,Jan-20
Minnesota,Jan,3.2,Jan-20
Mississippi,Jan,5.5,Jan-20
Missouri,Jan,3.5,Jan-20
Montana,Jan,3.5,Jan-20
Nebraska,Jan,3.9,Jan-20
Nevada,Jan,3.6,Jan-20
New Hampshire,Jan,2.6,Jan-20
New Jersey,Jan,3.8,Jan-20
New Mexico,Jan,4.8,Jan-20
New York,Jan,3.8,Jan-20
North Carolina,Jan,3.6,Jan-20
North Dakota,Jan,2.3,Jan-20
Ohio,Jan,4.1,Jan-20
Oklahoma,Jan,3.3,Jan-20
Oregon,Jan,3.3,Jan-20
Pennsylvania,Jan,4.7,Jan-20
Rhode Island,Jan,3.1,Jan-20
South Carolina,Jan,2.4,Jan-20
South Dakota,Jan,3.4,Jan-20
Tennessee,Jan,3.3,Jan-20
Texas,Jan,4.5,Jan-20
Utah,Jan,2.5,Jan-20
Vermont,Jan,2.4,Jan-20
Virginia,Jan,2.7,Jan-20
Washington,Jan,3.9,Jan-20
West Virginia,Jan,5,Jan-20
Wisconsin,Jan,3.5,Jan-20
Wyoming,Jan,3.7,Jan-20
Puerto Rico,Jan,8.9,Jan-20
Alabama,Feb,2.7,Feb-20
